commentlabeling_id,is_ok?,person_id,documentevaluation_id,document_id,category,credibility,label,labelcat
2,0,9486,6320014,2199432,personal finance,4,,
7,0,9486,4228148,2546656,medicine,5,,
6,0,9486,8282732,2547516,entertainment,5,,
5,0,9486,7428678,2213184,entertainment,4,,
4,0,9486,9815224,2547259,healthy life-style,4,,
3,0,9486,8733781,2207827,politics,5,,
16,0,9502,4796879,2197155,medicine,5,,
12,0,9502,6438221,2547116,healthy life-style,5,,
11,0,9502,10568858,2547516,entertainment,5,,
10,0,9502,4064403,2201514,healthy life-style,5,,
9,0,?,739,19,#N/A,2,,
8,0,9502,4796879,2197155,medicine,5,52,
23,0,9486,4298303,2196442,medicine,2,,
22,0,9486,4298303,2196442,medicine,2,,
21,0,8986,11119912,7041493,#N/A,4,,
20,0,?,8561,139,#N/A,4,,
19,0,9486,5787179,2199360,personal finance,3,,
18,0,9260,11260331,7041513,#N/A,3,,
17,0,9486,4298303,2196442,medicine,2,,
29,0,9486,4314045,2196263,medicine,4,,
28,0,9486,7684722,2201517,healthy life-style,5,,
27,0,9486,3910306,2207643,politics,5,,
26,0,9486,5809867,2201378,personal finance,4,,
25,0,9486,7882238,2207549,politics,4,,
24,0,9486,4314045,2196263,medicine,4,,
34,0,?,676,24,#N/A,5,,
33,0,9486,8285635,2214044,entertainment,3,,
32,0,9486,4309392,2196824,medicine,5,,
31,0,?,12085,159,#N/A,5,,
30,0,9486,4804332,2196381,medicine,5,,
39,0,?,11382,189,#N/A,3,,
38,0,9486,5904511,2547028,personal finance,4,,
37,0,9486,10528438,2214989,entertainment,4,,
36,0,?,1420,57,#N/A,2,,
35,0,9486,9153530,2201420,healthy life-style,5,,
44,0,9486,146123,2196408,medicine,4,,
43,0,?,13343,264,#N/A,1,,
42,0,?,13301,260,#N/A,3,,
41,0,7292,11191481,7066856,#N/A,4,,
40,0,?,3462,221,#N/A,1,,
49,0,9486,6549144,2214976,entertainment,5,,
48,0,9486,10954278,2213798,entertainment,2,,
47,0,?,8477,190,#N/A,3,,
46,0,9486,5899313,2200553,personal finance,4,,
45,0,8912,11103506,7041457,#N/A,94,,
199,0,9486,12645401,2201342,personal finance,5,62,
198,0,9486,4277784,2197166,medicine,5,12,
197,0,9486,4218457,2198172,medicine,5,21,
196,0,4947,4236309,2196519,#N/A,1,13,
195,0,9486,17177096,2201799,healthy life-style,3,52,
54,0,8986,11119912,7041493,#N/A,4,,
53,0,9486,10465986,2198493,personal finance,4,,
52,0,?,13359,261,#N/A,3,,
51,0,9486,3669693,2207552,politics,4,,
50,0,?,7500,75,#N/A,4,,
204,0,9486,12645401,2201342,personal finance,5,,
203,0,9486,4277784,2197166,medicine,5,,
202,0,9486,4218457,2198172,medicine,5,,
201,0,4947,4236309,2196519,#N/A,1,,
200,0,9486,17177096,2201799,healthy life-style,3,14,
449,0,9486,10887202,2569673,entertainment,5,,
447,0,9486,4433441,2197209,medicine,5,,
445,0,9486,10829852,2213086,entertainment,5,,
443,0,9486,10591259,2207394,politics,3,,
441,0,9486,10979929,2569358,entertainment,4,,
59,0,9466,11295909,7041485,#N/A,3,,
58,0,?,13203,226,#N/A,4,,
57,0,?,11270,31,#N/A,3,,
56,0,?,6237,154,#N/A,2,,
55,0,9486,8686738,2207469,politics,3,,
64,0,8955,11110769,7041486,#N/A,4,,
62,0,?,5589,237,#N/A,1,,
61,0,9486,8134999,2213784,entertainment,4,,
60,0,?,4749,47,#N/A,2,,
69,0,9486,10429806,2201648,healthy life-style,4,,
68,0,9486,10127288,2213118,entertainment,4,,
67,0,9010,11156253,7041520,#N/A,5,,
74,0,9486,6772673,2547359,healthy life-style,4,,
73,0,?,10192,13,#N/A,3,,
72,0,9486,10974610,2547236,healthy life-style,4,,
71,0,?,9071,194,#N/A,4,,
70,0,9486,4298441,2196442,medicine,2,,
79,0,9486,9419539,2547372,politics,5,,
78,0,9486,3780729,2196835,medicine,4,,
77,0,9486,151375,2199342,personal finance,4,,
76,0,9486,10504127,2213133,entertainment,4,,
75,0,?,12652,236,#N/A,3,,
448,0,9486,10887202,2569673,entertainment,5,,
446,0,9486,4433441,2197209,medicine,5,,
444,0,9486,10829852,2213086,entertainment,5,,
442,0,9486,10591259,2207394,politics,3,,
440,0,9486,10979929,2569358,entertainment,4,,
83,0,?,8186,2,#N/A,3,,
82,0,?,1403,81,#N/A,3,,
81,0,9486,4233450,2196357,medicine,5,,
80,0,9486,3889399,2546759,personal finance,4,,
89,0,?,13477,265,#N/A,3,,
88,0,9486,10305372,2547172,healthy life-style,4,,
87,0,?,12884,209,#N/A,4,,
86,0,?,8907,227,#N/A,1,,
94,0,?,13347,268,#N/A,2,,
93,0,9486,4834666,2197677,medicine,4,,
92,0,9486,10550078,2201547,healthy life-style,4,,
91,0,?,1179,34,#N/A,,,
90,0,9486,4646014,2196516,medicine,3,,
99,0,9486,5007115,2198700,personal finance,5,53,
99,0,9486,5007115,2198700,personal finance,5,31,
99,0,9486,5007115,2198700,personal finance,5,13,
99,0,9486,5007115,2198700,personal finance,5,43,
99,0,9486,5007115,2198700,personal finance,5,21,
99,0,9486,5007115,2198700,personal finance,5,62,
97,0,9486,4219725,2197445,medicine,5,,
96,0,?,13427,272,#N/A,2,,
95,0,9486,4230581,2197346,medicine,5,,
104,0,?,336,12,#N/A,1,62,
103,0,8792,4086397,2196248,medicine,5,33,
102,0,?,5426,67,#N/A,5,45,
102,0,?,5426,67,#N/A,5,53,
101,0,?,10993,66,#N/A,,11,
100,0,?,5034,79,#N/A,5,11,
100,0,?,5034,79,#N/A,5,13,
469,0,8792,15182880,2207832,politics,4,,
468,0,8792,7352858,2207386,politics,4,,
467,0,8792,23643158,6703908,healthy life-style,4,,
466,0,8792,8533515,2207761,politics,4,,
465,0,8792,4186630,2546661,medicine,5,,
774,0,8792,4458048,2197454,medicine,5,,
773,0,8792,22243901,2213378,entertainment,4,,
772,0,8792,16827964,6630113,personal finance,4,,
771,0,8792,10869801,2200536,personal finance,3,,
770,0,8792,21700130,6453775,medicine,5,,
109,0,8792,4780071,2196250,medicine,3,,
108,0,8792,7673885,2547338,healthy life-style,3,,
107,0,8792,4776123,1462,medicine,4,,
106,0,?,9903,75,#N/A,4,,
105,0,?,10254,195,#N/A,4,,
114,0,9486,7386047,2207736,politics,5,,
113,0,9486,4070009,2207757,politics,2,,
112,0,9486,4233232,2546641,medicine,5,,
111,0,9486,4187039,2197178,medicine,4,52,
111,0,9486,4187039,2197178,medicine,4,34,
111,0,9486,4187039,2197178,medicine,4,64,
110,0,?,8051,76,#N/A,4,52,
110,0,?,8051,76,#N/A,4,62,
119,0,?,9680,225,#N/A,5,,
118,0,?,4864,47,#N/A,2,,
117,0,8792,10564631,2547152,healthy life-style,5,,
116,0,?,3908,15,#N/A,5,,
115,0,?,1201,18,#N/A,4,,
124,0,8792,10149199,2201707,healthy life-style,4,,
123,0,?,13031,254,#N/A,1,,
122,0,?,8140,184,#N/A,3,,
121,0,8792,9144490,2213118,entertainment,4,,
120,0,8792,4350251,2197694,medicine,5,,
129,0,8792,9022605,2201707,healthy life-style,4,,
128,0,?,12665,187,#N/A,2,,
127,0,8792,7777436,2547491,personal finance,4,,
126,0,?,901,58,#N/A,4,,
125,0,8792,4222548,2196255,medicine,4,,
134,0,8792,170996,2213685,entertainment,3,,
133,0,?,10926,243,#N/A,5,,
132,0,8792,4222616,2196255,medicine,4,,
131,0,?,1333,44,#N/A,3,,
130,0,8792,9081890,2214068,entertainment,4,,
139,0,8792,6894425,2212302,politics,5,,
138,0,8792,7972295,2547305,healthy life-style,4,,
137,0,8792,3852002,2213415,entertainment,5,,
136,0,8792,7259286,2214032,entertainment,4,,
135,0,?,683,22,#N/A,4,11,
135,0,?,683,22,#N/A,4,65,
144,0,8792,4550553,2197344,medicine,3,,
143,0,?,4222,165,#N/A,4,,
142,0,8792,10855942,2547114,healthy life-style,4,,
141,0,?,4722,220,#N/A,4,,
140,0,8792,4037954,2207498,politics,4,11,
140,0,8792,4037954,2207498,politics,4,63,
140,0,8792,4037954,2207498,politics,4,21,
149,0,8792,4809796,2546359,medicine,2,31,
149,0,8792,4809796,2546359,medicine,2,32,
148,0,8792,4241556,2196483,medicine,4,31,
147,0,8792,3828492,2200022,personal finance,4,53,
146,0,?,12698,243,#N/A,5,13,
145,0,8792,9114091,2207603,politics,5,42,
145,0,8792,9114091,2207603,politics,5,44,
145,0,8792,9114091,2207603,politics,5,21,
145,0,8792,9114091,2207603,politics,5,53,
154,0,8792,4786084,2197443,medicine,5,,
153,0,8792,11036457,2207764,politics,4,,
152,0,?,5933,253,#N/A,5,,
151,0,8792,9674175,2201440,healthy life-style,4,,
150,0,?,12193,164,#N/A,5,,
158,0,9503,4233851,2546655,medicine,5,,
157,0,?,3601,181,#N/A,5,,
156,0,9503,4448083,1462,medicine,4,,
155,0,9503,9932123,2199427,personal finance,5,,
164,0,9504,10794132,2213097,entertainment,4,11,
164,0,9504,10794132,2213097,entertainment,4,34,
163,0,9504,4071011,2569358,entertainment,4,53,
162,0,9504,5087591,2200139,personal finance,5,53,
160,0,9504,4796281,2196255,medicine,4,62,
160,0,9504,4796281,2196255,medicine,4,65,
474,0,8792,15182880,2207832,politics,4,45,
474,0,8792,15182880,2207832,politics,4,53,
473,0,8792,7352858,2207386,politics,4,45,
472,0,8792,23643158,6703908,healthy life-style,4,0,
471,0,8792,8533515,2207761,politics,4,62,
471,0,8792,8533515,2207761,politics,4,65,
470,0,8792,4186630,2546661,medicine,5,34,
470,0,8792,4186630,2546661,medicine,5,45,
169,0,9504,4808799,2197456,medicine,4,,
168,0,?,9011,157,#N/A,,,
167,0,9504,3661947,2201605,healthy life-style,4,,
166,0,9504,8511389,1371,medicine,5,,
479,0,8792,4458048,2197454,medicine,5,32,
479,0,8792,4458048,2197454,medicine,5,34,
479,0,8792,4458048,2197454,medicine,5,53,
478,0,8792,22243901,2213378,entertainment,4,22,
478,0,8792,22243901,2213378,entertainment,4,35,
478,0,8792,22243901,2213378,entertainment,4,45,
477,0,8792,16827964,6630113,personal finance,4,44,
477,0,8792,16827964,6630113,personal finance,4,62,
477,0,8792,16827964,6630113,personal finance,4,63,
477,0,8792,16827964,6630113,personal finance,4,53,
476,0,8792,10869801,2200536,personal finance,3,61,
476,0,8792,10869801,2200536,personal finance,3,62,
476,0,8792,10869801,2200536,personal finance,3,63,
476,0,8792,10869801,2200536,personal finance,3,53,
475,0,8792,21700130,6453775,medicine,5,32,
475,0,8792,21700130,6453775,medicine,5,34,
174,0,?,10009,157,#N/A,,,
173,0,8793,10882743,2201620,healthy life-style,5,,
172,0,?,7339,198,#N/A,5,,
171,0,?,9280,204,#N/A,4,,
170,0,8793,4193736,2196528,medicine,5,52,
179,0,9509,4109707,2196408,medicine,4,,
178,0,?,1346,24,#N/A,5,,
177,0,?,4616,201,#N/A,5,,
176,0,9503,9932123,2199427,personal finance,5,,
175,0,?,652,72,#N/A,3,51,
184,0,9510,6032210,2546680,personal finance,4,,
182,0,9510,10307435,2547362,politics,5,,
181,0,?,8849,222,#N/A,4,,
180,0,9510,4452568,2197577,medicine,3,,
189,0,9521,4823451,1374,medicine,4,31,
189,0,9521,4823451,1374,medicine,4,32,
189,0,9521,4823451,1374,medicine,4,42,
189,0,9521,4823451,1374,medicine,4,62,
189,0,9521,4823451,1374,medicine,4,63,
188,0,9521,10792763,2547273,healthy life-style,5,44,
187,0,?,13015,252,#N/A,4,53,
186,0,9521,3891092,2546787,personal finance,5,32,
186,0,9521,3891092,2546787,personal finance,5,62,
185,0,?,11377,182,#N/A,4,31,
185,0,?,11377,182,#N/A,4,53,
194,0,9521,10488118,2201729,healthy life-style,4,,
193,0,9521,8967668,2547113,healthy life-style,4,,
192,0,?,10196,80,#N/A,2,,
191,0,9521,4094914,2196250,medicine,3,,
190,0,9521,10581719,2547324,healthy life-style,4,,
209,0,9486,12645401,2201342,personal finance,5,,
208,0,9486,4277784,2197166,medicine,5,,
207,0,9486,4218457,2198172,medicine,5,,
206,0,4947,4236309,2196519,#N/A,1,,
205,0,9486,17177096,2201799,healthy life-style,3,44,
205,0,9486,17177096,2201799,healthy life-style,3,45,
205,0,9486,17177096,2201799,healthy life-style,3,22,
214,0,9486,12645401,2201342,personal finance,5,53,
214,0,9486,12645401,2201342,personal finance,5,32,
214,0,9486,12645401,2201342,personal finance,5,21,
213,0,9486,4277784,2197166,medicine,5,53,
213,0,9486,4277784,2197166,medicine,5,45,
212,0,9486,4218457,2198172,medicine,5,53,
212,0,9486,4218457,2198172,medicine,5,31,
212,0,9486,4218457,2198172,medicine,5,32,
211,0,4947,4236309,2196519,#N/A,1,42,
210,0,9486,17177096,2201799,healthy life-style,3,44,
210,0,9486,17177096,2201799,healthy life-style,3,45,
210,0,9486,17177096,2201799,healthy life-style,3,22,
219,0,9486,12645401,2201342,personal finance,5,32,
219,0,9486,12645401,2201342,personal finance,5,45,
219,0,9486,12645401,2201342,personal finance,5,21,
218,0,9486,4277784,2197166,medicine,5,53,
218,0,9486,4277784,2197166,medicine,5,45,
217,0,9486,4218457,2198172,medicine,5,53,
217,0,9486,4218457,2198172,medicine,5,32,
216,0,4947,4236309,2196519,#N/A,1,42,
215,0,9486,17177096,2201799,healthy life-style,3,44,
215,0,9486,17177096,2201799,healthy life-style,3,45,
215,0,9486,17177096,2201799,healthy life-style,3,22,
224,0,9486,12645401,2201342,personal finance,5,63,
223,0,9486,4277784,2197166,medicine,5,63,
222,0,9486,4218457,2198172,medicine,5,63,
221,0,4947,4236309,2196519,#N/A,1,64,
220,0,9486,17177096,2201799,healthy life-style,3,64,
229,0,9486,12645401,2201342,personal finance,5,64,
228,0,9486,4277784,2197166,medicine,5,62,
227,0,9486,4218457,2198172,medicine,5,63,
226,0,4947,4236309,2196519,#N/A,1,62,
225,0,9486,17177096,2201799,healthy life-style,3,64,
234,0,9486,12645401,2201342,personal finance,5,,
233,0,9486,4277784,2197166,medicine,5,,
232,0,9486,4218457,2198172,medicine,5,,
231,0,4947,4236309,2196519,#N/A,1,,
230,0,9486,17177096,2201799,healthy life-style,3,,
239,0,9486,12645401,2201342,personal finance,5,41,
238,0,9486,4277784,2197166,medicine,5,22,
237,0,9486,4218457,2198172,medicine,5,12,
236,0,4947,4236309,2196519,#N/A,1,14,
235,0,9486,17177096,2201799,healthy life-style,3,14,
244,0,9486,10887202,2569673,entertainment,5,,
243,0,9486,4433441,2197209,medicine,5,,
242,0,9486,10829852,2213086,entertainment,5,,
241,0,9486,10591259,2207394,politics,3,,
240,0,9486,10979929,2569358,entertainment,4,,
454,0,10044,10611759,2201499,healthy life-style,4,,
453,0,10044,10679341,2213091,entertainment,4,,
452,0,10044,4166699,2196470,medicine,5,,
451,0,10044,16547878,7026729,politics,3,,
450,0,10044,10460700,2207832,politics,4,,
249,0,9486,10887202,2569673,entertainment,5,12,
248,0,9486,4433441,2197209,medicine,5,52,
248,0,9486,4433441,2197209,medicine,5,44,
248,0,9486,4433441,2197209,medicine,5,45,
247,0,9486,10829852,2213086,entertainment,5,32,
246,0,9486,10591259,2207394,politics,3,53,
246,0,9486,10591259,2207394,politics,3,45,
245,0,9486,10979929,2569358,entertainment,4,33,
245,0,9486,10979929,2569358,entertainment,4,11,
254,0,10044,10611759,2201499,healthy life-style,4,45,
254,0,10044,10611759,2201499,healthy life-style,4,21,
253,0,10044,10679341,2213091,entertainment,4,53,
252,0,10044,4166699,2196470,medicine,5,53,
252,0,10044,4166699,2196470,medicine,5,63,
251,0,10044,16547878,7026729,politics,3,32,
250,0,10044,10460700,2207832,politics,4,63,
259,0,9486,12645401,2201342,personal finance,5,32,
259,0,9486,12645401,2201342,personal finance,5,33,
259,0,9486,12645401,2201342,personal finance,5,45,
259,0,9486,12645401,2201342,personal finance,5,21,
258,0,9486,4277784,2197166,medicine,5,53,
258,0,9486,4277784,2197166,medicine,5,45,
257,0,9486,4218457,2198172,medicine,5,32,
257,0,9486,4218457,2198172,medicine,5,33,
256,0,4947,4236309,2196519,#N/A,1,11,
256,0,4947,4236309,2196519,#N/A,1,42,
255,0,9486,17177096,2201799,healthy life-style,3,45,
255,0,9486,17177096,2201799,healthy life-style,3,22,
264,0,10043,9717641,2547377,politics,4,32,
264,0,10043,9717641,2547377,politics,4,13,
263,0,10043,16883009,2569885,entertainment,3,11,
263,0,10043,16883009,2569885,entertainment,3,12,
262,0,10043,7498885,2207551,politics,4,63,
261,0,10043,3668739,2201894,politics,5,53,
261,0,10043,3668739,2201894,politics,5,63,
260,0,10043,4323714,2196846,medicine,4,32,
260,0,10043,4323714,2196846,medicine,4,63,
260,0,10043,4323714,2196846,medicine,4,21,
269,0,10043,10569722,2213417,entertainment,5,62,
269,0,10043,10569722,2213417,entertainment,5,63,
268,0,10043,10339466,2214054,entertainment,4,13,
267,0,10043,4826945,2196446,medicine,4,65,
266,0,8792,9114091,2207603,politics,5,42,
266,0,8792,9114091,2207603,politics,5,44,
266,0,8792,9114091,2207603,politics,5,45,
266,0,8792,9114091,2207603,politics,5,21,
265,0,10043,5906909,2199432,personal finance,4,63,
265,0,10043,5906909,2199432,personal finance,4,11,
274,0,10043,6341883,6429726,medicine,3,53,
274,0,10043,6341883,6429726,medicine,3,45,
273,0,10043,8508782,2197178,medicine,4,32,
272,0,4503,4226557,2196519,#N/A,1,51,
272,0,4503,4226557,2196519,#N/A,1,45,
272,0,4503,4226557,2196519,#N/A,1,21,
271,0,10043,15979155,2201719,healthy life-style,5,65,
270,0,10043,11067814,2200145,personal finance,5,33,
279,0,10043,4048029,2546633,medicine,2,53,
279,0,10043,4048029,2546633,medicine,2,34,
278,0,4721,7554543,2201799,healthy life-style,3,62,
278,0,4721,7554543,2201799,healthy life-style,3,63,
277,0,10043,10791834,2201619,healthy life-style,4,53,
277,0,10043,10791834,2201619,healthy life-style,4,21,
276,0,10043,10932206,2201616,healthy life-style,4,65,
275,0,10043,4897171,2199205,personal finance,3,62,
275,0,10043,4897171,2199205,personal finance,3,11,
284,0,10043,9603364,2201445,healthy life-style,5,52,
284,0,10043,9603364,2201445,healthy life-style,5,63,
284,0,10043,9603364,2201445,healthy life-style,5,65,
284,0,10043,9603364,2201445,healthy life-style,5,45,
283,0,10043,10909692,2207736,politics,5,34,
282,0,10043,10659262,6981356,healthy life-style,2,11,
281,0,10043,10103069,2207828,politics,5,62,
280,0,10043,6266351,2199044,personal finance,4,62,
280,0,10043,6266351,2199044,personal finance,4,63,
289,0,10043,7616176,2207500,politics,4,34,
288,0,10043,5820840,2546722,personal finance,4,51,
288,0,10043,5820840,2546722,personal finance,4,52,
288,0,10043,5820840,2546722,personal finance,4,53,
287,0,10043,10292017,2207549,politics,4,31,
287,0,10043,10292017,2207549,politics,4,63,
286,0,10043,10886438,2215102,entertainment,3,65,
286,0,10043,10886438,2215102,entertainment,3,45,
286,0,10043,10886438,2215102,entertainment,3,11,
285,0,10043,10491557,2207773,politics,3,51,
285,0,10043,10491557,2207773,politics,3,45,
