commentlabeling_id,labeller_id,rater_id,documentevaluation_id,document_id,start,end,answer,rejected,is_test?,is_gold?,is_finished?,is_ok?
3983,4114,10370,9001831,6900296,2014-08-13 15:51:43.924045,2014-08-13 15:53:11.229878,61,0,0,0,1,1
3984,4114,10370,23585013,6703906,2014-08-13 15:51:43.925895,2014-08-13 15:54:17.443262,21,0,0,0,1,1
3985,4114,10370,22208760,2259,2014-08-13 15:51:43.927967,2014-08-13 15:52:38.231223,61,0,0,0,1,1
3986,4114,10370,8893854,2207842,2014-08-13 15:51:43.929148,2014-08-13 15:53:54.130950,45,0,0,0,1,1
3987,4114,10370,15433981,2201523,2014-08-13 15:51:43.930491,2014-08-13 15:54:58.007683,62,0,0,0,1,1
3988,4114,10370,14721278,2213378,2014-08-13 15:51:43.932857,2014-08-13 15:53:04.458729,61,0,0,0,1,1
3989,4114,4114,23440085,2235,2014-08-13 15:51:43.934902,2014-08-13 15:54:02.091540,45,0,0,0,1,1
3990,4114,10370,18243842,2547374,2014-08-13 15:51:43.936271,2014-08-13 15:53:23.325725,62,0,0,0,1,1
3991,4114,10370,16007427,2547155,2014-08-13 15:51:43.937656,2014-08-13 15:52:13.818249,11,0,0,0,1,1
3992,4114,?,24518165,5325978,2014-08-13 15:51:43.943491,2014-08-13 15:54:34.642229,51,0,0,1,1,0
6643,4312,4312,24159219,2198845,2014-08-18 11:34:29.327532,2014-08-18 11:37:43.552010,"32,34",0,0,0,1,1
6644,4312,9805,14012858,2199357,2014-08-18 11:34:29.329343,2014-08-18 11:38:43.290954,"53,34",0,0,0,1,1
6645,4312,9805,21987969,2215658,2014-08-18 11:34:29.330630,2014-08-18 11:38:07.187758,"32,34",0,0,0,1,1
6646,4312,9805,24068738,6900292,2014-08-18 11:34:29.331955,2014-08-18 11:39:38.162307,53,0,0,0,1,1
6647,4312,9805,12995926,6939175,2014-08-18 11:34:29.333225,2014-08-18 11:40:53.364666,31,0,0,0,1,1
6648,4312,9805,21136007,2207379,2014-08-18 11:34:29.334516,2014-08-18 11:42:42.861855,"53,11",0,0,0,1,1
6649,4312,9805,23723917,2201323,2014-08-18 11:34:29.335781,2014-08-18 11:40:02.805511,34,0,0,0,1,1
6650,4312,9805,22602377,2199355,2014-08-18 11:34:29.337124,2014-08-18 11:41:23.283595,"34,62",0,0,0,1,1
6651,4312,9805,6800010,2201770,2014-08-18 11:34:29.338458,2014-08-18 11:40:15.862875,35,0,0,0,1,1
6652,4312,?,24518171,5325978,2014-08-18 11:34:29.342974,2014-08-18 11:42:03.500501,61,0,0,1,1,0
6723,4312,4312,9934773,2546749,2014-08-18 11:42:54.465333,2014-08-18 11:44:28.780841,53,1,0,0,1,0
6724,4312,4312,4067827,2207447,2014-08-18 11:42:54.467195,2014-08-18 11:43:25.290523,53,1,0,0,1,0
6725,4312,9805,10502802,6978749,2014-08-18 11:42:54.468535,2014-08-18 11:44:16.982830,"34,63",1,0,0,1,0
6726,4312,4312,22553237,2201614,2014-08-18 11:42:54.469925,2014-08-18 11:47:09.269718,"21,62",1,0,0,1,0
6727,4312,4312,3823044,2213789,2014-08-18 11:42:54.471309,2014-08-18 11:46:06.053453,"34,11,64",1,0,0,1,0
6728,4312,10516,20695834,6430012,2014-08-18 11:42:54.472599,2014-08-18 11:47:44.633891,"53,11",1,0,0,1,0
6729,4312,10520,22069920,2201445,2014-08-18 11:42:54.474031,2014-08-18 11:46:44.711644,"31,32,61",1,0,0,1,0
6730,4312,10520,23372450,2207895,2014-08-18 11:42:54.475403,2014-08-18 11:45:37.767417,"53,31,32",1,0,0,1,0
6731,4312,10520,19137188,2201661,2014-08-18 11:42:54.476748,2014-08-18 11:44:55.096392,"34,11,62",1,0,0,1,0
6732,4312,?,24518180,5325978,2014-08-18 11:42:54.481374,2014-08-18 11:45:07.183001,00,1,0,1,1,0
20956,4470,10370,3823147,2569885,2014-09-05 14:47:02.136572,2014-09-05 14:47:20.778247,11,1,0,0,1,0
20957,4470,10505,22938092,2201786,2014-09-05 14:48:00.776539,2014-09-05 14:49:01.574756,45,1,0,0,1,0
20958,4470,9805,4175300,2196420,2014-09-05 14:47:41.294154,2014-09-05 14:48:00.328230,11,1,0,0,1,0
20959,4470,10520,19137188,2201661,2014-09-05 14:49:22.034497,2014-09-05 14:49:36.651340,62,1,0,0,1,0
20960,4470,10531,13139138,2197157,2014-09-05 14:47:21.118039,2014-09-05 14:47:40.964615,"11,62",1,0,0,1,0
20961,4470,10370,8553927,6673626,2014-09-05 14:45:53.571788,2014-09-05 14:46:16.817990,"62,51",1,0,0,1,0
20962,4470,10535,24494765,6487852,2014-09-05 14:45:16.322688,2014-09-05 14:45:53.194047,"11,65,51",1,0,0,1,0
20963,4470,10516,23143086,2207611,2014-09-05 14:49:01.920028,2014-09-05 14:49:21.692796,63,1,0,0,1,0
20964,4470,10516,8553135,6673622,2014-09-05 14:46:17.355458,2014-09-05 14:46:43.799458,62,1,0,0,1,0
20965,4470,?,24518136,5325978,2014-09-05 14:46:44.138591,2014-09-05 14:47:01.758367,61,1,0,1,1,0
5433,4490,10369,10803218,2201399,2014-08-17 18:23:35.782098,2014-08-17 18:28:05.622867,"62,53,32",0,0,0,1,1
5434,4490,4490,20768936,2196541,2014-08-17 18:23:35.783867,2014-08-17 18:29:48.143446,"62,52,32",0,0,0,1,1
5435,4490,10370,22594316,6598045,2014-08-17 18:23:35.785177,2014-08-17 18:28:58.022804,"62,65,53,32",0,0,0,1,1
5436,4490,10370,24108259,2547473,2014-08-17 18:23:35.786446,2014-08-17 18:28:23.260341,"62,53,32,33",0,0,0,1,1
5437,4490,10370,20313309,2214080,2014-08-17 18:23:35.787850,2014-08-17 18:27:34.508989,"62,32",0,0,0,1,1
5438,4490,10370,22970777,2201733,2014-08-17 18:23:35.789170,2014-08-17 18:26:22.049601,"53,32",0,0,0,1,1
5439,4490,10370,16007578,2547162,2014-08-17 18:23:35.790541,2014-08-17 18:26:42.886910,"62,65",0,0,0,1,1
5440,4490,10370,18661787,2215232,2014-08-17 18:23:35.791826,2014-08-17 18:30:12.167297,"62,52,53,32",0,0,0,1,1
5441,4490,10370,17498524,6956589,2014-08-17 18:23:35.793118,2014-08-17 18:25:13.097959,"65,31,34",0,0,0,1,1
