person_id,person_user_username,is_test?,personexperiment_type,person_gender,person_birthyr,person_education,person_wage,person_politics,person_state,person_country
9486,test_konrad,1,tb,0,1998,1,6,3,51,1
9502,test_konrad2,1,tb,0,1970,0,0,0,0,0
8792,test_radek,1,tb,0,1970,0,0,0,0,0
9503,test_michal,1,tb,0,1970,0,0,0,0,0
9504,test_michal2,1,tb,0,1970,0,0,0,0,0
8793,test_radek2,1,tb,0,1970,0,0,0,0,0
9509,test_radek3,1,tb,0,1970,0,0,0,0,0
9510,test_radek4,1,tb,0,1970,0,0,0,0,0
9521,test_kasiag,1,tb,0,1970,0,0,0,0,0
10042,gold_test,1,tb,0,1970,0,0,0,0,0
10043,gold_michal,1,tb,0,1970,0,0,0,0,0
9506,test_konrad10,1,tb,0,1970,0,0,0,0,0
10044,test_konrad11,1,tb,0,1970,0,0,0,0,0
10227,gold_radek,1,tb,0,1970,0,0,0,0,0
10332,test_konrad111,1,tb,0,1970,0,0,0,0,0
10333,gold2_radek2,1,tb,0,1970,0,0,0,0,0
10334,gold2_radek1,1,tb,0,1970,0,0,0,0,0
10341,test_konrad112,1,tb,0,1970,0,0,0,0,0
10342,test_konrad113,1,tb,0,1970,0,0,0,0,0
10343,test_konrad114,1,tb,0,1970,0,0,0,0,0
10344,test_konrad115,1,tb,0,1970,0,0,0,0,0
10345,test_konrad116,1,tb,0,1970,0,0,0,0,0
10346,test_konrad117,1,tb,0,1970,0,0,0,0,0
10347,test_konrad118,1,tb,0,1970,0,0,0,0,0
10348,test_konrad119,1,tb,0,1970,0,0,0,0,0
10349,test_konrad120,1,tb,0,1970,0,0,0,0,0
10350,test_konrad121,1,tb,0,1970,0,0,0,0,0
10351,test_konrad122,1,tb,0,1970,0,0,0,0,0
9507,test_konrad123,1,tb,0,1970,0,0,0,0,0
10352,test_konrad124,1,tb,0,1970,0,0,0,0,0
10353,test_konrad125,1,tb,0,1970,0,0,0,0,0
10354,test_konrad126,1,tb,0,1970,0,0,0,0,0
10355,test_konrad127,1,tb,0,1970,0,0,0,0,0
10356,test_konrad128,1,tb,0,1970,0,0,0,0,0
10357,test_konrad129,1,tb,0,1970,0,0,0,0,0
10358,test_michal123,1,tb,0,1970,0,0,0,0,0
10359,test_michal1234,1,tb,0,1970,0,0,0,0,0
10360,test_michal12345,1,tb,0,1970,0,0,0,0,0
10361,test_michal123456,1,tb,0,1970,0,0,0,0,0
10362,test_michal1234567,1,tb,0,1970,0,0,0,0,0
10363,test_michal12345678,1,tb,0,1970,0,0,0,0,0
10364,test_michal123456789,1,tb,0,1970,0,0,0,0,0
10365,test_michal1234567890,1,tb,0,1970,0,0,0,0,0
10366,test_michal12345678901,1,tb,0,1970,0,0,0,0,0
10367,test_michal123456789012,1,tb,0,1970,0,0,0,0,0
10368,test_michal1234567890123,1,tb,0,1970,0,0,0,0,0
10369,test_michal12345678901234,1,tb,0,1970,0,0,0,0,0
10370,test_michal123456789012345,1,tb,0,1970,0,0,0,0,0
10371,test_michal_mturk_final_test,1,tb,0,1970,0,0,0,0,0
10372,test_michal_mturk_final_test2,1,tb,0,1970,0,0,0,0,0
10212,AJXGV70V3PDOC,0,tb,1,1959,6,2,5,42,0
10162,A70AS0KVKADBY,0,tb,0,1986,5,1,5,33,0
10377,A1JWEYI5PWNR4R,0,tb,0,1970,0,0,0,0,0
10378,A39YBLQYIUBR76,0,tb,0,1970,0,0,0,0,0
10380,A248D5XVN1YGCZ,0,tb,0,1970,0,0,0,0,0
5150,A1QYORNO0GY308,0,tb,1,1978,6,3,5,51,102
10382,A4ON6TM65WXIV,0,tb,0,1970,0,0,0,0,0
10006,A1EONVNAZ6IGE4,0,tb,1,1975,5,2,8,17,0
7042,A518UG25MGFE9,0,tb,1,1990,5,6,2,10,0
10210,A2MPIWNB58IFBP,0,tb,0,1986,4,1,9,43,0
10383,A2UXOEFCUYEV8U,0,tb,0,1970,0,0,0,0,0
9931,ARFV302JOUOF,0,tb,1,1990,3,1,3,22,0
4867,AC5LU9TF9CTK9,0,tb,0,1946,2,2,6,8,0
10388,A01435663OC65K250L63L,0,tb,0,1970,0,0,0,0,0
9838,ABZCA1DW2YSM0,0,tb,1,1978,4,6,5,7,0
10389,A3PP0X1YABGXAF,0,tb,0,1970,0,0,0,0,0
10131,A2B4GWF7MF7AOB,0,tb,1,1989,6,6,10,5,0
10391,A3H35QRODK1C4K,0,tb,0,1970,0,0,0,0,0
10392,A7TI4X4LRGQA0,0,tb,0,1970,0,0,0,0,0
10394,A2IR8FHIWS0FCT,0,tb,0,1970,0,0,0,0,0
5124,A27IABVBUZ9X8Z,0,tb,0,1964,5,5,6,9,0
9612,A1IYFXLF8HPO0G,0,tb,0,1988,4,2,5,9,0
10395,A3AU7L204D8TZK,0,tb,0,1970,0,0,0,0,0
5679,A3S4MWKGWPJS6I,0,tb,1,1982,4,1,2,8,0
10396,ANJQRMXHJ8POM,0,tb,0,1970,0,0,0,0,0
8838,A1WP410YX2JBKI,0,tb,0,1970,0,0,0,0,0
10398,ABT7QTMIYXYO0,0,tb,0,1970,0,0,0,0,0
9618,A1BHMDRWW9ZYSO,0,tb,0,1970,0,0,0,0,0
10399,A1IPT5P54EL69E,0,tb,0,1970,0,0,0,0,0
9863,A2185GWX8KDBDR,0,tb,0,1957,6,1,3,43,0
9577,AG0X3PQK2FWQJ,0,tb,0,1990,6,6,3,5,0
10401,ANG6O6OTLTUBM,0,tb,0,1970,0,0,0,0,0
10406,test_konrad1111,1,tb,0,1970,0,0,0,0,0
10407,test_konrad133,1,tb,0,1970,0,0,0,0,0
9487,A8T9099WVUKST,0,tb,1,1990,1,6,6,1,0
9508,test_konrad321,1,tb,0,1970,0,0,0,0,0
7809,A3CZEM0107MTUQ,0,tb,0,1970,0,0,0,0,0
10415,AKA9XW7UANMPJ,0,tb,0,1970,0,0,0,0,0
10241,A1C017LQFTJP06,0,tb,1,1987,7,6,5,51,52
10418,A2YFPO0N4GIS25,0,tb,0,1970,0,0,0,0,0
10423,AKJ8CNFZH73K6,0,tb,0,1970,0,0,0,0,0
10393,A1RBXVI2UOK421,0,tb,0,1970,0,0,0,0,0
10424,AQR70X1KIOP6B,0,tb,0,1970,0,0,0,0,0
10426,A1WSU493L2IHEI,0,tb,0,1970,0,0,0,0,0
10427,A15OBQS0LO4EI1,0,tb,0,1970,0,0,0,0,0
9542,ANFWGSQ8BQRZ,0,tb,1,1975,7,2,2,21,0
9660,AYAZUYJY3N6BO,0,tb,0,1980,6,3,2,49,0
10428,A26T6O5EFR54A9,0,tb,0,1970,0,0,0,0,0
9886,AKLV0WIZZ356X,0,tb,0,1975,4,4,3,31,0
10429,A2OF53SX9BQ7RO,0,tb,0,1970,0,0,0,0,0
10430,A23W3XIXNNVH82,0,tb,0,1970,0,0,0,0,0
10432,A2VSS175DP9WM9,0,tb,0,1970,0,0,0,0,0
9541,A1N7BLXVZRSVGM,0,tb,1,1991,3,6,3,51,141
10433,ACQVIEH85AI0D,0,tb,0,1970,0,0,0,0,0
10434,A1ICZRR7BO5HLU,0,tb,0,1970,0,0,0,0,0
10435,A2U0P2JY8T4YNS,0,tb,0,1970,0,0,0,0,0
