documentevaluation_id,is_gold?,gold_url,tag_code,gold_category,gold_text
24518133,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518133,0,Err:504,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
24518134,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518134,11,Err:504,"I had no difficulties evaluating this site. I like the information I get on forums, because most times I know the moderators of these forums safeguard against spammy posts. As this site is a forum I rated it very high."
24518135,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518135,11,Err:504,"I couldn't make up my mind, sorry. This is just a blog, so I don't know if it is all that credible. "
24518136,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518136,21,Err:504,I rated this page high because Adobe doesn't normally buy advertising off any bad sites. 
24518137,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518137,21,Err:504,There is much advertising that kind of throws off the design. All the ads makes me uncomfortable so I rated this page very low.
24518138,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518138,22,Err:504,"I don't really get what this page is about, but there are no visible commercial ties so I rated it good."
24518139,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518139,22,Err:504,"As with anyone trying to sell you a product, there will be at least a slight push towards sales. This page is definitely oriented on sales, thus cannot be credible."
24518140,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518140,23,Err:504,I am not sure what the author wanted to achieve by writing this article. I don't get the page and author's intentions so I don't know how to evaluate the page.
24518141,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518141,23,Err:504,The whole site looks suspicious... I would be worried about malware from this page if I accidentally clicked into it. This cannot be good.
24518142,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518142,31,Err:504,The author signed their name to the article what boosts the overall credibility of the page. I can identify the author so I think it is a good site.
24518143,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518143,31,Err:504,The lack of attribution to the author and a lack of review from a Medical Doctor leads the viewer to have doubts. 
24518144,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518144,32,Err:504,The author of this particular article Maria Golia is a well known author with a wealth of information on Egypt. Reputable author made ma rate this page very good.
24518145,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518145,32,Err:504,The author does not present him/herself as an authority on the topic. If the author is not an expert so how can the article be credible?
24518146,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518146,33,Err:504,"This appears to be an official, direct from the game studio website. As it is official it automatically gets high rating."
24518147,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518147,33,Err:504,"It looks like a fanclub page of this band. It is not official website, so it is not completely credible."
24518148,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518148,34,Err:504,Johns Hopkins is a nationally known hospital and education center. This is definitely a credible sources. I would rate everything what comes from this source as good.
24518149,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518149,34,Err:504,"It did not have .edu or .gov suffix, so that was not in favor of credibility. If the page was governmental I would rate it higher."
24518150,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518150,35,Err:504,"This page is visited by thousands of people it has to be credible. The audience of the page is huge, so all that people cannot be wrong."
24518151,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518151,35,Err:504,There are many negative user comments in the comments section below. The big amount of the negative feedback from such a big audience makes doubt in credibilty of this page.
24518152,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518152,41,Err:504,"All the pictures and videos worked and loaded correctly. Everything worked, no broken links, so I rated it as good page."
24518153,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518153,41,Err:504,There are a lot of broken links and the website... Nothing works! 
24518154,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518154,42,Err:504,It is also credible because it has a lot of links to relevant information. I like when the page has a lot of links.
24518155,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518155,42,Err:504,"The page has no links in it. I would like to read further, but there is nothing to click on..."
24518156,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518156,43,Err:504,"At first I didn't know how to evaluate this page, but the contact information was included. I called the company to verify it. Seems legit."
24518157,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518157,43,Err:504,This site lacks contact information. There is no address or contact form - I don't trust such sites.
24518158,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518158,44,Err:504,Health sites like these are well organized. I like when everything I read is neatly organized.
24518159,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518159,44,Err:504,Very unorganized content. This is such a big mess it is difficult to find anything.
24518160,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518160,45,Err:504,"The site looks pretty good, but it is also a bit basic. Despite that I rated this page high."
24518161,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518161,45,Err:504,"Governmental organization with a sleek, professional looking website. Looks nice so it just has to be credible."
24518162,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518162,45,Err:504,Very poor design and appearance. I don't trust anything that looks this bad...
24518163,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518163,45,Err:504,The page of this company lacks professional look and feel. They should put more effort in their identity. It looks so bad I don't trust it.
24518164,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518164,51,Err:504,This page summarizes the study with easy to read language. I like it when the text is legible and easy to understand.
24518165,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518165,51,Err:504,I found it too long and rather boring. It would be easier to read if it was just a bit more interesting - this one is too scientific.
24518166,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518166,52,Err:504,I rated this page as highly credible because the articles looks well written and informational. I like the writing style and language.
24518167,1,http://mturk.reconcile.pl/_a/experiment/documentevaluation/24518167,52,Err:504,There is so much slang in the text it looks like a foreign language to me... I didn't like the page.
